number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_lr,params_num_heads,params_num_layers,params_weight_decay,state
41,2.51147190941266,2026-03-23 11:11:52.628392,2026-03-23 12:04:32.965125,0 days 00:52:40.336733,64,0.12667543642218737,96,0.00017393014030749854,4,1,3.519504074125298e-06,COMPLETE
42,2.4253772805936524,2026-03-23 12:04:32.975126,2026-03-23 12:57:49.441523,0 days 00:53:16.466397,64,0.2179272220327899,32,0.00043243001454713154,2,1,1.0828571183983815e-06,COMPLETE
43,2.4953625870258875,2026-03-23 12:57:49.450524,2026-03-23 14:44:11.300262,0 days 01:46:21.849738,32,0.2142106790504047,96,0.0002599684038233898,4,1,1.2320721576612012e-05,COMPLETE
44,2.5639549069618783,2026-03-23 14:44:11.311265,2026-03-23 14:56:46.886176,0 days 00:12:35.574911,128,0.4675784325500083,64,0.0027172433458315754,2,1,0.004639554161305768,PRUNED
45,2.479262930924371,2026-03-23 14:56:46.954176,2026-03-23 15:29:10.509244,0 days 00:32:23.555068,128,0.4884056658308977,48,0.0007348355490665462,2,1,0.0015833555846703122,COMPLETE
46,2.389612423027619,2026-03-23 15:29:10.519243,2026-03-23 16:18:29.008167,0 days 00:49:18.488924,32,0.470813403937674,48,0.0012472183180994142,4,1,0.000293214707593958,PRUNED
47,2.4189598288002303,2026-03-23 16:18:29.017167,2026-03-23 16:32:22.228116,0 days 00:13:53.210949,128,0.15592151408554228,96,0.00026871823565185066,4,1,1.758020085847249e-06,PRUNED
48,2.4746729992855903,2026-03-23 16:32:22.236116,2026-03-23 18:34:41.988121,0 days 02:02:19.752005,64,0.2034894691272189,48,0.00011977964820176302,4,1,2.914268835465214e-06,COMPLETE
49,2.3985252833930493,2026-03-23 18:34:41.997125,2026-03-23 18:59:08.559162,0 days 00:24:26.562037,64,0.22080154008156305,96,0.0001431778411984326,4,2,6.636594053271627e-06,PRUNED
50,2.438381106306365,2026-03-23 18:59:08.567162,2026-03-23 20:07:50.168413,0 days 01:08:41.601251,64,0.23929178849573057,96,0.0001501352371702865,4,1,7.551436366215715e-05,COMPLETE
51,2.5222234189511985,2026-03-23 20:07:50.177411,2026-03-23 21:10:25.890200,0 days 01:02:35.712789,64,0.2753251385592315,32,0.0005819362446518932,2,1,4.2400578181045446e-06,COMPLETE
52,2.4256506042215245,2026-03-23 21:10:25.899200,2026-03-23 21:54:04.351971,0 days 00:43:38.452771,64,0.1576521523299686,64,0.00012842513028800057,2,1,1.2917802840810887e-06,COMPLETE
53,2.5269167170887146,2026-03-23 21:54:04.360973,2026-03-23 22:33:50.567343,0 days 00:39:46.206370,64,0.1271766310867854,32,0.0006144182382222406,2,1,1.5050394326004522e-06,COMPLETE
54,2.3578171129100247,2026-03-23 22:33:50.576343,2026-03-23 22:45:10.543125,0 days 00:11:19.966782,128,0.4132026934040645,96,0.0014268991216704779,2,1,0.008113583642795267,PRUNED
55,2.521034276472555,2026-03-23 22:45:10.551125,2026-03-24 00:02:24.326356,0 days 01:17:13.775231,64,0.20355667414009015,32,0.00011907233597962888,2,1,1.086240822833849e-06,COMPLETE
56,2.2869404799506055,2026-03-24 00:02:24.335861,2026-03-24 00:15:39.445352,0 days 00:13:15.109491,64,0.25731452056521437,96,0.00019633301154332392,2,1,5.9931235967553415e-06,PRUNED
57,2.4379008062405063,2026-03-24 00:15:39.455352,2026-03-24 00:48:18.782994,0 days 00:32:39.327642,64,0.28322816836735065,96,0.0003533358284794231,4,1,1.0664235289518773e-06,COMPLETE
58,2.490332554085894,2026-03-24 00:48:18.791994,2026-03-24 01:05:46.852195,0 days 00:17:28.060201,128,0.35022217685690454,48,0.001463136942549807,2,1,0.0006477889873208789,COMPLETE
59,2.4708063940259946,2026-03-24 01:05:46.864701,2026-03-24 01:39:02.516043,0 days 00:33:15.651342,64,0.10904225804970885,48,0.000649105347434617,4,1,7.236922183176698e-05,COMPLETE
60,2.4700816508467827,2026-03-24 01:39:02.525044,2026-03-24 02:36:14.039666,0 days 00:57:11.514622,64,0.19372825331689786,64,0.00010958066927306917,4,1,0.0011019624298876513,COMPLETE
61,2.4298633493599677,2026-03-24 02:36:14.051666,2026-03-24 03:22:28.311576,0 days 00:46:14.259910,64,0.15684329600500962,64,0.00011219240074315592,2,1,1.1426487232483353e-06,COMPLETE
62,2.3868041373509863,2026-03-24 03:22:28.322576,2026-03-24 03:31:13.050321,0 days 00:08:44.727745,128,0.1228201288735268,96,0.0004837383115875717,4,1,0.00011628909997913612,PRUNED
63,2.438459421503295,2026-03-24 03:31:13.059321,2026-03-24 03:40:32.686162,0 days 00:09:19.626841,64,0.20955938684728606,48,0.0020188454911027783,2,1,1.224212542205002e-06,PRUNED
64,2.404699737998102,2026-03-24 03:40:32.694161,2026-03-24 04:38:15.411111,0 days 00:57:42.716950,64,0.17154875244257098,32,0.0001681958808063756,4,1,1.279180989838928e-06,COMPLETE
65,2.3700313856780513,2026-03-24 04:38:15.421111,2026-03-24 05:57:52.572541,0 days 01:19:37.151430,64,0.1462865499268222,32,0.00011258506423866653,4,1,1.5324131709132e-06,COMPLETE
66,2.339598512363251,2026-03-24 05:57:52.584541,2026-03-24 07:01:03.619347,0 days 01:03:11.034806,64,0.22530639917316347,32,0.00011701691957779585,4,1,1.0456828771886203e-06,COMPLETE
67,2.5047916101467527,2026-03-24 07:01:03.633347,2026-03-24 08:16:59.949574,0 days 01:15:56.316227,64,0.19585174152519574,32,0.0001104411407019541,4,1,2.8374200221564797e-06,COMPLETE
68,2.4291382638919936,2026-03-24 08:16:59.959574,2026-03-24 09:05:11.123354,0 days 00:48:11.163780,64,0.2669620892603538,32,0.00026477758849384177,4,1,1.316804511001225e-06,COMPLETE
69,2.3583401491839315,2026-03-24 09:05:11.133355,2026-03-24 09:34:02.435211,0 days 00:28:51.301856,128,0.27991481308415544,32,0.00014652847989250742,4,1,3.7189764457475094e-06,COMPLETE
70,2.513376834139964,2026-03-24 09:34:02.443211,2026-03-24 09:41:48.640869,0 days 00:07:46.197658,128,0.3700364526066135,32,0.00023518310764082502,4,1,3.372664453367268e-06,PRUNED
71,2.5187863699487107,2026-03-24 09:41:48.699869,2026-03-24 10:29:54.495193,0 days 00:48:05.795324,32,0.14243948190923228,32,0.000222990320916418,4,1,1.1427978197631067e-06,COMPLETE
72,2.4909193374411664,2026-03-24 10:29:54.504193,2026-03-24 10:52:18.069625,0 days 00:22:23.565432,128,0.18491739366403365,32,0.0002390264586802502,4,2,7.838993210579057e-06,COMPLETE
73,2.444282943638231,2026-03-24 10:52:18.077627,2026-03-24 11:19:56.773888,0 days 00:27:38.696261,128,0.3029356432018634,64,0.0001578931321702775,4,1,1.4176165325439393e-05,COMPLETE
74,2.4976708846806757,2026-03-24 11:19:56.783887,2026-03-24 11:27:51.304151,0 days 00:07:54.520264,64,0.10676012984296794,32,0.0007093982953796957,4,1,1.8980142393110948e-06,PRUNED
