cutoff_hz,cutoff_label,model,mean_rmse,std_rmse,mean_corr,std_corr,mean_r2,std_r2
0.01,0.01,RF_9t_2f,2.7978233453530708,0.44048585241294386,0.8810418169900842,0.036121314339826745,0.6942696223654444,0.07269612170332472
0.01,0.01,RF_50t,3.01723426498273,0.4972111549547262,0.8634451795165654,0.050006894434798374,0.6346867014495448,0.13156012357321886
0.01,0.01,RF_200t,2.987251439775754,0.48423297159413936,0.865540336852274,0.050129554518909276,0.6421729358385061,0.12774477082840674
0.012,0.012,OLS,2.781342121577381,0.6699912644659565,0.8960433642423379,0.022782626395859856,0.6986834565219944,0.11193665735069236
0.012,0.012,Ridge,2.7306591584970197,0.5882669907531982,0.8957633644844203,0.02334836040272238,0.7122969036075634,0.08164201163698306
0.012,0.012,Lasso,2.7573594395644667,0.6284379085723543,0.8956049147909005,0.02402611078012327,0.7053055541228821,0.09674251074286899
0.012,0.012,ElasticNet,2.7484924010158966,0.5566463677305966,0.89558613191554,0.023035432899918558,0.7086579013698351,0.07444208634406373
0.012,0.012,RF_9t_2f,2.8354881410208765,0.4634426279538846,0.8751225030627001,0.04491216600298003,0.6818387390034277,0.09984767469671037
0.012,0.012,RF_50t,2.9534964416056644,0.4940462819793743,0.8656268117539507,0.052448559768623365,0.6512322730045239,0.12517282916455974
0.012,0.012,RF_200t,2.947999726449824,0.49407435474538,0.8666419388948972,0.051339517837616915,0.6530781307774126,0.12082729772738365
0.015,0.015,OLS,2.811738959361458,0.6701902957326874,0.8934302638336143,0.024130402983423536,0.6923181030482682,0.11201039329858932
0.015,0.015,Ridge,2.761617985708312,0.5896130406072343,0.8928964754508228,0.024561931602869635,0.7059171395162485,0.08169525862940642
0.015,0.015,Lasso,2.7865795491704572,0.6264180515303334,0.8932921000542864,0.025190158484855445,0.6993267990951564,0.09572098036629569
0.015,0.015,ElasticNet,2.779492508708102,0.5583316978011184,0.8927521688358628,0.024153604486092262,0.7022210330612599,0.07457264759224072
0.015,0.015,RF_9t_2f,2.808805471476297,0.4303910381945219,0.8757521665746878,0.03983351122936983,0.6898805134961727,0.08129747349132309
0.015,0.015,RF_50t,2.927550877146393,0.5048011641707156,0.8620477864617997,0.05584402399856791,0.6587358384591551,0.11924514473989643
0.015,0.015,RF_200t,2.9234937360497355,0.5091766890585607,0.8626425777697844,0.055925238031808835,0.6603005257215923,0.11650524858921814
0.02,0.02,OLS,2.855747542868178,0.6704519403647028,0.8894463123511256,0.02610163348769842,0.6827224502905878,0.11280823914636821
0.02,0.02,Ridge,2.806368528099475,0.5907400010692324,0.8884870407500354,0.026279386730923615,0.6964415357366271,0.08199915131892636
0.02,0.02,Lasso,2.8283341171617264,0.6236261062061446,0.8896174199479716,0.027109567238128816,0.6904680024635202,0.09488702851170315
0.02,0.02,ElasticNet,2.8237279821973655,0.5603333320954954,0.88837955910175,0.025936084774161112,0.6927899734920965,0.07505804758650901
0.02,0.02,RF_9t_2f,2.8521809450516873,0.4330897083681417,0.8693160266097706,0.045077332484534556,0.6796044263000758,0.08828365101961738
